,Date,Humidity,Lat,Lon,Max Temp,clouds,name,wind_speed
372,1547149526,97,16.95,121.67,70.21,76,Cabatuan,1.9
373,1547148420,36,13.64,-88.78,93.2,40,San Vicente,13.87
374,1547149527,87,-34.0,24.73,65.94,56,Kruisfontein,10.18
375,1547146500,100,42.93,10.76,39.2,0,Follonica,4.7
376,1547148600,61,14.55,-60.84,82.4,75,Le Vauclin,11.41
377,1547149528,99,5.4,125.46,80.79,88,Sarangani,6.15
378,1547149528,82,19.11,84.69,54.82,0,Ichchapuram,1.68
379,1547148600,100,51.89,-8.4,48.2,75,Mahon,2.24
380,1547149529,89,65.58,-170.99,-6.2,0,Lavrentiya,19.24
381,1547149529,100,18.67,105.69,64.54,92,Vinh,3.91
382,1547149529,73,43.65,111.97,-4.72,0,Erenhot,7.72
383,1547146200,86,67.67,12.69,33.8,75,Sorland,49.44
384,1547149530,90,18.39,103.66,66.84,20,Pakxan,1.79
385,1547146800,58,-21.64,-41.05,86.0,0,Sao Joao da Barra,20.8
386,1547149530,96,-24.69,44.75,73.27,92,Ampanihy,9.06
387,1547146800,58,-21.65,-41.75,86.0,0,Sao Fidelis,20.8
388,1547149531,96,-11.38,43.28,82.99,64,Mitsamiouli,8.84
389,1547149531,98,8.0,124.29,68.41,88,Marawi,3.13
390,1547146800,52,18.08,-15.98,69.8,0,Nouakchott,10.29
391,1547146800,61,16.97,-88.23,80.6,20,Dangriga,6.93
392,1547149532,100,61.99,-49.67,28.59,64,Paamiut,6.04
393,1547146800,67,-43.03,147.26,60.8,75,Margate,3.36
394,1547149532,91,13.72,123.58,77.32,88,Sabang,13.76
395,1547149532,99,1.11,101.31,72.15,88,Balaipungut,2.57
396,1547146800,46,-20.93,-54.96,91.4,40,Sidrolandia,11.41
397,1547149251,69,44.3,86.03,-2.24,24,Shihezi,2.8
398,1547148900,83,20.89,-156.47,71.06,90,Kahului,3.36
399,1547149533,48,-14.47,-48.46,83.89,48,Niquelandia,5.7
400,1547149533,84,-2.9,-40.84,78.27,92,Camocim,4.92
401,1547146680,75,64.86,-147.8,-16.97,75,College,3.36
402,1547149533,51,3.02,30.91,73.09,88,Arua,4.36
403,1547149534,85,5.35,48.53,77.05,76,Hobyo,17.45
